X,Y,OBJECTID,VCID,VC_Site_Name,VC_Site_Room,VC_Site_address,VC_Site_city,VC_Site_ZIP,Voting_Period_Type,number_of_BMDs,VC_Size
-13168532.8985,3992178.4354,3882,13110,Italian American Club,Main Room,1903 S Cabrillo Ave,San Pedro,90731,11 Day,,
-13153097.0655,4029176.8823,3883,13838,Brenda Villa Aquatic Center,Meeting Room,5600 Harbor St,Commerce,90040,11 Day,,
-13175627.7559,3996412.1674,3884,14436,Rancho Del Mar High School,Multi-Purpose Room,38 Crest Rd W,Rolling Hills,90274,4 Day,,
-13167127.315,4041534.2861,3885,2150,Silverlake Independent Jewish Comm Ctr,Gymnasium,1110 Bates Ave,Los Angeles,90029,4 Day,,
-13173212.1167,4010723.3929,3886,2655,North High School,East Cafeteria,3620 W 182nd St,Torrance,90504,4 Day,,
-13192978.3782,4066293.855,3887,7046,Rinaldi Adult Center,Auditorium,17450 Rinaldi St,Granada Hills,91344,4 Day,,
-13148555.0923,4119617.6373,3888,14214,New Vista Middle School,Gymnasium,753 E Avenue K 2,Lancaster,93535,4 Day,,
-13171120.858,4003997.0625,3889,9915,J H Hull Middle School,Gymnasium,2080 W 231st St,Torrance,90501,4 Day,,
-13177894.862,4009088.993,3890,10889,Beach Cities Health Dist Admin Office,Redondo and Beach Cities Lower Level,514 N Prospect Ave,Redondo Beach,90277,4 Day,,
-13191750.7757,4089751.8827,3891,13304,Bouquet Canyon Education Center,Multi-Purpose Room,28110 Wellston Dr,Saugus,91350,4 Day,,
-13163240.0774,4028044.9389,3892,13315,Slauson Rec and Senior Citizen Center,Senior Club Room,5306 Compton Ave,Los Angeles,90011,11 Day,,
-13201323.3323,4060195.2332,3893,14318,Elks Lodge 2190,Main Hall,20925 Osborne St ,Canoga Park,91304,4 Day,,
-13166860.7849,4034734.0213,3894,3726,Angelica Lutheran Church,Auditorium,1345 S Burlington Ave,Los Angeles,90006,4 Day,,
-13154443.227,4027547.7842,3895,13213,R N Slawson Southeast Occupational Ctr,Multi-Purpose Room,5500 Rickenbacker Rd,Bell,90201,4 Day,,
-13140469.094,4030846.4233,3896,5969,Mill Elementary School,Multi-Purpose Room Gate M,4030 Workman Mill Rd,Whittier,90601,4 Day,,
-13168108.3428,4038754.0725,3897,7604,Virgil Middle School,Auditorium,152 N Vermont Ave ,Los Angeles,90004,4 Day,,
-13212849.2057,4034073.7864,3898,9626,Malibu City Hall,Multi-Purpose Room,23825 Stuart Ranch Rd,Malibu,90265,11 Day,,
-13142580.6522,4026049.8035,3899,2426,Sorensen Park,Multi-Purpose Room,11419 Rose Hedge Dr,Whittier,90606,11 Day,,
-13182448.4382,4052539.3608,3900,14663,Los Angeles Valley College,Cafeteria,5800 Fulton Ave,Van Nuys,91401,11 Day,,
-13169325.218,4015048.68,3901,10893,Vincent Bell Memorial Park,Community Room,14708 Halldale Ave,Gardena,90247,4 Day,,
-13108199.9844,4037079.4276,3902,13003,Centro Cristiano De La Fe,Dining Room,423 N Main St ,Pomona,91768,11 Day,,
-13151587.3441,4049574.5809,3903,240,Villa Park Community Center,Auditorium,363 E Villa St,Pasadena,91101,4 Day,,
-13164413.311,4059056.2819,3904,12471,Crescenta Valley Park,Recreation Room,3901 Dunsmore Ave,Glendale,91214,4 Day,,
